,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
48,Jamestown,0,AU,01-11-2019,44,-33.21,138.6,88.0,11.77
49,Berlevag,68,NO,01-11-2019,100,70.86,29.09,19.6,4.38
50,Rawson,44,AR,01-11-2019,32,-43.3,-65.11,72.25,19.04
51,Vaini,0,IN,01-11-2019,82,15.34,74.49,55.4,2.93
52,Kodiak,90,US,01-11-2019,100,39.95,-94.76,33.8,6.93
53,Yellowknife,90,CA,01-11-2019,77,62.45,-114.38,6.8,10.29
54,Puerto Ayora,48,EC,01-11-2019,100,-0.74,-90.35,76.39,9.19
55,Chivay,92,PE,01-11-2019,99,-15.64,-71.6,32.33,2.37
56,Longyearbyen,20,NO,01-11-2019,55,78.22,15.63,8.6,18.34
57,Lorengau,68,PG,01-11-2019,98,-2.02,147.27,83.77,13.33
58,Aklavik,90,CA,01-11-2019,74,68.22,-135.01,-22.01,4.7
59,Harper,90,US,01-11-2019,94,30.3,-99.24,56.3,3.36
60,Tecoanapa,0,MX,01-11-2019,100,16.99,-99.26,69.64,1.03
61,Buin,0,CL,01-11-2019,55,-33.73,-70.74,62.6,11.41
62,Yangcun,24,CN,01-11-2019,89,29.98,118.17,42.91,3.38
63,Tiksi,32,RU,01-11-2019,47,71.64,128.87,-29.14,6.4
64,Dunedin,0,NZ,01-11-2019,76,-45.87,170.5,60.46,7.63
65,Takaka,0,NZ,01-11-2019,73,-40.86,172.81,68.96,6.17
66,Atuona,0,PF,01-11-2019,100,-9.8,-139.03,81.47,16.24
67,Kaitangata,0,NZ,01-11-2019,72,-46.28,169.85,62.8,9.53
68,San Lorenzo,75,PY,01-11-2019,94,-25.34,-57.51,71.6,2.71
69,Klishkivtsi,76,UA,01-11-2019,100,48.43,26.26,12.2,3.6
70,Concepcion del Uruguay,0,AR,01-11-2019,83,-32.48,-58.24,63.56,6.17
71,Nouadhibou,0,MR,01-11-2019,82,20.93,-17.03,57.22,6.73
72,Cabo San Lucas,0,MX,01-11-2019,100,22.89,-109.91,72.52,2.37
73,Tabou,0,CI,01-11-2019,100,4.42,-7.36,81.11,0.69
74,Cabedelo,75,BR,01-11-2019,83,-6.97,-34.84,77.0,8.05
75,Port-Gentil,68,GA,01-11-2019,100,-0.72,8.78,77.2,4.72
76,Atasu,36,KZ,01-11-2019,80,48.68,71.64,-2.05,7.07
77,Tromso,75,NO,01-11-2019,91,69.65,18.96,32.0,24.16
78,Sao Joao da Barra,0,BR,01-11-2019,96,-21.64,-41.05,79.49,16.46
79,Hithadhoo,88,MV,01-11-2019,100,-0.6,73.08,79.04,0.36
80,San Patricio,80,PY,01-11-2019,82,-26.98,-56.83,78.1,3.94
81,Cape Town,0,ZA,01-11-2019,100,-33.93,18.42,53.6,5.82
82,Ust-Nera,20,RU,01-11-2019,82,64.57,143.24,-41.07,1.92
83,Busselton,0,AU,01-11-2019,81,-33.64,115.35,74.32,11.77
84,Tiznit,0,MA,01-11-2019,93,29.7,-9.73,47.05,6.17
85,Guerrero Negro,0,MX,01-11-2019,100,27.97,-114.04,52.9,4.5
86,Saint Anthony,90,US,01-11-2019,78,43.97,-111.68,30.02,3.36
87,Bukachacha,56,RU,01-11-2019,77,52.99,116.91,-2.23,3.38
88,Qaanaaq,24,GL,01-11-2019,100,77.48,-69.36,-18.16,10.54
89,Fare,88,PF,01-11-2019,100,-16.7,-151.02,83.14,16.58
90,Victoria,75,BN,01-11-2019,70,5.28,115.24,87.8,2.24
91,Aksu,0,KZ,01-11-2019,75,52.04,76.93,-16.61,4.47
92,Avarua,75,CK,01-11-2019,74,-21.21,-159.78,84.2,9.17
93,Chara,90,GR,01-11-2019,93,39.42,22.43,37.4,4.7
94,Vanimo,12,PG,01-11-2019,100,-2.67,141.3,83.05,14.23
95,Tessalit,56,ML,01-11-2019,20,20.2,1.01,46.6,10.2
96,Khatanga,48,RU,01-11-2019,58,71.98,102.47,-32.79,9.64
97,Port Lincoln,0,AU,01-11-2019,77,-34.72,135.86,70.45,17.47
98,Ginir,0,ET,01-11-2019,59,7.14,40.71,43.72,2.93
99,Sao Filipe,0,CV,01-11-2019,99,14.9,-24.5,71.66,10.87
100,Westerly,1,US,01-11-2019,40,41.38,-71.83,21.92,6.93
101,Saint-Philippe,1,CA,01-11-2019,54,45.36,-73.48,5.0,13.87
102,Chiredzi,20,ZW,01-11-2019,89,-21.05,31.67,75.49,3.6
103,Clyde River,1,CA,01-11-2019,73,70.47,-68.59,-31.01,6.93
104,Saint George,90,GR,01-11-2019,93,39.45,22.34,37.4,4.7
105,Monchegorsk,76,RU,01-11-2019,87,67.94,32.93,18.52,2.93
106,Fortuna,0,ES,01-11-2019,47,38.18,-1.13,35.6,2.71
107,Naze,8,NG,01-11-2019,91,5.43,7.07,73.6,7.4
108,Nanortalik,48,GL,01-11-2019,89,60.14,-45.24,31.07,43.87
109,College,20,US,01-11-2019,67,64.86,-147.8,-34.97,2.71
110,Borogontsy,56,RU,01-11-2019,54,62.67,131.17,-31.75,2.37
111,Griffith,0,AU,01-11-2019,16,-34.29,146.06,104.0,4.7
112,Severo-Kurilsk,76,RU,01-11-2019,100,50.68,156.12,32.24,24.52
113,Ciudad Bolivar,0,VE,01-11-2019,54,8.12,-63.55,82.42,15.35
114,Barrow,0,AR,01-11-2019,56,-38.31,-60.23,61.67,12.1
115,Kulhudhuffushi,8,MV,01-11-2019,100,6.62,73.07,81.83,8.19
116,Thompson,75,CA,01-11-2019,76,55.74,-97.86,-4.01,4.7
117,Sakaiminato,75,JP,01-11-2019,49,35.55,133.23,48.2,4.7
118,Zyryanka,0,RU,01-11-2019,69,65.73,150.89,-35.94,2.26
119,Ribeira Grande,40,PT,01-11-2019,72,38.52,-28.7,59.0,12.75
120,East London,75,ZA,01-11-2019,72,-33.02,27.91,64.4,20.8
